date,Lunch ,Dinner ,Total
Sun 30 May 21,3.789,3.93,7.72
Mon 31 May 21,2.495,2.92,5.43
Tue 1 Jun 21,2.422,2.888,5.31
Wed 2 Jun 21,2.001,2.582,4.583
Thu 3 Jun 21,2.046,3.142,5.188
Fri 4 Jun 21,1.953,3.087,5.04
Sat 5 Jun 21,4.759,7.347,12.106
Sun 6 Jun 21,4.046,6.444,10.49
Mon 7 Jun 21,3.136,4.502,7.638
Tue 8 Jun 21,1.547,4.888,6.435
Wed 9 Jun 21,1.214,4.559,5.773
Thu 10 Jun 21,1.409,6.688,8.097
Fri 11 Jun 21,2.34,6.724,9.064
Sat 12 Jun 21,4.435,8.173,12.656
Sun 13 Jun 21,5.07,7.31,12.381
Mon 14 Jun 21,1.577,4.405,5.982
Tue 15 Jun 21,2.473,4.937,7.41
Wed 16 Jun 21,2.254,5.471,7.758
Thu 17 Jun 21,3.018,5.167,8.272
Fri 18 Jun 21,1.748,5.826,7.574
Sat 19 Jun 21,4.876,8.552,13.429
Sun 20 Jun 21,4.503,7.627,12.13
Mon 21 Jun 21,1.832,3.247,5.078
Tue 22 Jun 21,2.071,4.838,6.908
Wed 23 Jun 21,2.245,5.503,7.748
Thu 24 Jun 21,2.194,7.273,9.468
Fri 25 Jun 21,3.356,8.381,11.737
Sat 26 Jun 21,6.038,12.173,18.211
Sun 27 Jun 21,5.682,6.728,12.41
Mon 28 Jun 21,2.337,7.876,10.213
Tue 29 Jun 21,2.251,6.849,9.099
Wed 30 Jun 21,1.564,4.977,6.554
Thu 1 Jul 21,1.753,6.829,8.582
Fri 2 Jul 21,2.538,10.149,12.687
Sat 3 Jul 21,6.731,12.849,19.58
Sun 4 Jul 21,4.537,7.742,12.279
Mon 5 Jul 21,3.046,8.401,11.447
Tue 6 Jul 21,2.109,8.109,10.218
Wed 7 Jul 21,2.897,6.905,9.802
Thu 8 Jul 21,2.641,8.196,10.837
Fri 9 Jul 21,3.78,11.929,15.709
Sat 10 Jul 21,5.282,11.954,17.236
Sun 11 Jul 21,3.921,7.658,11.58
Mon 12 Jul 21,2.148,7.555,9.702
Tue 13 Jul 21,2.786,8.322,11.107
Wed 14 Jul 21,1.925,7.151,9.076
Thu 15 Jul 21,1.976,7.681,9.659
Fri 16 Jul 21,3.187,10.485,13.738
Sat 17 Jul 21,6.403,13.368,19.772
Sun 18 Jul 21,3.983,9.787,13.77
Mon 19 Jul 21,3.88,7.868,11.749
Tue 20 Jul 21,2.482,8.472,10.954
Wed 21 Jul 21,2.744,9.285,12.028
Thu 22 Jul 21,2.887,9.013,11.9
Fri 23 Jul 21,2.413,11.4,13.812
Sat 24 Jul 21,3.691,9.792,13.483
Sun 25 Jul 21,4.641,9.621,14.262
Mon 26 Jul 21,3.136,7.827,10.97
Tue 27 Jul 21,2.764,7.501,10.265
Wed 28 Jul 21,2.217,9.671,11.887
Thu 29 Jul 21,3.3,9.076,12.389
Fri 30 Jul 21,3.316,9.363,12.679
Sat 31 Jul 21,4.395,12.09,16.485
Sun 1 Aug 21,4.16,9.98,14.141
Mon 2 Aug 21,2.754,8.78,11.534
Tue 3 Aug 21,3.253,8.898,12.151
Wed 4 Aug 21,3.704,8.923,12.628
Thu 5 Aug 21,3.715,9.988,13.703
Fri 6 Aug 21,4.253,9.534,13.802
